,GFLOPS per inference,Actual GFLOPS/sec,Operational Intensity (FLOPS/Byte),Bound Type,Peak GFLOPS Utilization (%)
yolov5n,4.49606,78.74331024826982,642.412727993339,Compute-bound,24.907408202187685
yolov5s,16.4851544,113.34325091559398,611.4507725565527,Compute-bound,35.85176453233642
yolov5m,48.967356,177.45203335824883,620.3864347690318,Compute-bound,56.13010447778635
yolov5l,109.1450712,204.55328852773195,629.3492895240123,Compute-bound,64.70254095740205
yolov5x,205.669052,227.04304272470182,636.5672507664881,Compute-bound,71.81630702063535
