,model_name,total_time,avg_time_per_image,fps,avg_detections,optimization,speedup
0,yolov5s,8.73043155670166,0.436521577835083,2.290837499853897,4.9,Baseline,1.0
2,yolov5s (Batch Size=4),3.2705883979797363,0.1635294198989868,6.115107609491347,4.9,Batch Processing,2.6693764223264855
1,yolov5s (FP16),232.86622762680054,11.643311381340027,0.08588621975726206,4.9,FP16,0.03749118816273072
3,yolov5s (Threads=4),2.35119891166687,0.11755994558334351,8.506298595477448,4.9,Threading,3.713182884434166
